"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74"
1573.15087519196,1684.12445161637,1637.16695719317,1549.82004152928,1817.1354306263,1618.01966763052,1680.43142622917,1765.82649849824,1876.32297549759,1553.1385027041,1669.7244533515,1560.97270116501,1637.08592835921,1720.01960439512,1528.48616677762,1691.80179621843,1752.08001620787,1673.76233959003,1748.58095015831,1518.13134010759,1710.71359172728,1765.7420781276,1650.80266001124,1758.55912725833,1638.89481888216,1671.68854326258,1652.75243676317,1655.82249295058,1602.43052726228,1810.22533414204,1750.62474675013,1648.74085112274,1875.22900888436,1641.91814181135,1672.81142210614,1575.76250764569,1775.9202554391,1502.46697950463,1715.53935987573,1748.47634346113,1651.81791011947,1686.38552525716,1594.6764767807,1691.62913679265,1577.02045992205,1679.29734800182,1696.46495873397,1764.44076364438,1626.29841794887,1693.59099756476,1774.23914917318,1742.59867535481,1514.93249717487,1740.589253338,1706.98090121628,1650.27496326357,1842.84813294122,1723.20558071728,1819.5625451594,1513.25270251323,1773.74149700857,1677.59801064428,1494.21275149856,1611.12428063771,1780.13924354757,1547.64447329203,1865.39781702021,1713.03796255582,1638.66000696827,1706.49664764077,1610.79322009498,1568.62391011858,1704.37358342267,1706.36019096777
1521.86951457207,1622.30208312719,1576.62272913834,1497.04916130116,1754.27628604862,1565.67180405441,1629.79489555153,1701.40744581845,1812.78980549237,1502.29830913103,1608.28346173623,1505.6520727342,1583.77495418187,1655.63188586251,1475.01740920563,1636.96356918859,1693.10112623264,1623.18305626453,1693.65580940379,1465.18159141688,1653.90282383156,1705.1511811475,1598.69192146705,1697.85282587537,1580.47597806682,1609.13847131905,1599.76630166432,1604.34054268062,1548.78858922395,1751.8876931517,1687.67625494513,1589.09438470252,1813.08702423809,1586.73725005766,1611.08047384253,1522.32277436306,1719.24773999018,1450.9833212945,1655.32418189076,1686.63043927968,1602.14727296218,1632.45609344387,1539.90151899651,1634.42794432952,1520.75631533584,1624.02465816838,1638.41159324162,1704.68071713303,1572.21724539204,1633.1722657476,1716.07941339178,1679.94789487963,1461.67525650531,1685.05644951616,1654.90979815014,1596.75920753882,1778.87854427878,1666.12431336389,1755.99186252216,1461.67883931506,1711.08588424085,1625.33140385666,1443.07688842949,1561.28526497777,1719.91441091516,1496.56592176743,1804.49054967986,1657.76301792135,1581.36005189964,1648.63392302139,1559.83229786578,1515.97937232188,1649.07611973287,1653.78419948515
1466.31980499855,1557.61413498184,1513.50733755377,1440.73078091789,1687.01160670924,1508.74692686208,1573.31320198925,1633.71571854381,1744.23554059015,1447.33705398966,1544.0695074845,1447.34235050075,1525.8923895147,1588.60221506688,1418.48645120463,1577.23668022966,1629.54098044251,1566.83002525663,1633.117503223,1409.16630220208,1592.4803581622,1640.23274139055,1541.50824267222,1632.9479819514,1518.86268415609,1544.10286602627,1541.91395903883,1547.55384033578,1491.12814479993,1688.02427778527,1621.25532300436,1526.46104594023,1745.56594614653,1527.42598368623,1546.61588799185,1465.16841869213,1657.06287645777,1396.23799024021,1591.36076077003,1621.03589492848,1546.75062361266,1573.46754736269,1481.52373527238,1572.97656767737,1461.54719196823,1564.14574604559,1576.27502459512,1640.38452979876,1513.91630976104,1569.36299138354,1652.82307570572,1613.85241893657,1405.48285244734,1624.17570558395,1597.02230737929,1538.55201530978,1710.45712148796,1604.33722499951,1688.17597346612,1406.72154943638,1644.55907409481,1567.68185885509,1388.69463310743,1506.29228594283,1655.06807764532,1441.50430142736,1738.00679133768,1597.43450737728,1520.55663366353,1586.50089620776,1504.0191627359,1459.49845327727,1588.84612920179,1595.5312967659
1408.19664098594,1491.69926257858,1449.37003987784,1382.45060673328,1617.31629751163,1449.02252350823,1512.96198101573,1564.5310880522,1672.77129447433,1389.91163994675,1478.69305536032,1387.5688839039,1465.23589403846,1520.5778027031,1360.39686930753,1514.51332844387,1563.32488917275,1506.66454347829,1568.99621850994,1351.5787553032,1528.32906604755,1572.8956388518,1481.11679019718,1565.73052428228,1455.68851050623,1478.15521251082,1481.04205184262,1487.35738010018,1431.14687397817,1620.72596016516,1553.15058237956,1462.45766020982,1674.81704966323,1465.73745013633,1481.02647707438,1405.93265420165,1591.41620425653,1339.73275517966,1525.43393889782,1553.51333360854,1487.56000423014,1511.32295154309,1421.18294587019,1509.09596062462,1400.92945026081,1501.50825733244,1511.8620908911,1573.48620478982,1453.14208281306,1503.87986412142,1586.47667410655,1546.08861624618,1347.82845014697,1559.94072609707,1535.32144655659,1477.47857320778,1639.59283288268,1539.75142185258,1618.07338114073,1349.90886827476,1576.02425301625,1506.57647477088,1332.55720703466,1447.97565035936,1587.56137789272,1384.09475638603,1668.10708716081,1533.98576257212,1457.92207268917,1521.93723689509,1445.15188496799,1400.82138825017,1525.5944817024,1533.59005501835
1348.94002619101,1425.9012869907,1385.47518124974,1323.5342721001,1546.8534763749,1388.01493136581,1450.46831117078,1495.32106946988,1600.19041455094,1331.42689071814,1413.47350655606,1327.59300121217,1403.33645071771,1452.90028946411,1301.99079311339,1450.41016266084,1496.07962522265,1444.39967308233,1503.04896353677,1293.65347451475,1463.0454408491,1504.74946237947,1419.12640541129,1497.78710142252,1392.3060241908,1412.57608154156,1418.73217550494,1425.3922630676,1370.275251781,1551.79199124182,1484.84437175243,1398.41619036595,1602.67393581918,1403.14871634268,1415.62845849684,1345.98410725008,1524.07619469673,1282.71691264113,1459.03429669868,1485.58072931463,1426.26424974263,1447.65880713603,1360.24778823235,1444.31945690243,1340.17128222301,1437.68210563717,1446.68796284367,1505.61690480269,1391.37077025969,1438.14695669259,1518.75215790229,1478.12840211435,1289.92605830173,1494.06972259208,1471.55337872316,1415.09626804849,1567.97644775977,1473.98595432766,1547.32786235094,1292.51504379318,1507.0369232457,1443.68414560365,1275.90548370381,1387.92088636104,1519.04978365856,1325.71939044621,1596.6413834378,1469.07198432616,1394.85095534278,1456.49120072876,1384.77881785889,1341.32744347532,1460.95390797037,1469.68936217691
1289.78171240798,1361.31909930519,1322.85193879548,1265.10103996337,1477.01669843926,1327.02435320875,1387.33687133288,1427.29120163356,1528.00738211651,1273.08277794648,1349.48794752759,1268.45974443848,1341.50500820975,1386.65820392777,1244.30704048003,1386.31395906332,1429.18773792868,1381.52689408617,1436.79184506172,1236.42375465531,1397.99063326942,1437.14538963512,1356.92062705159,1430.44667896106,1329.83382390183,1348.40264806057,1356.34435989969,1363.07653216361,1309.72856997039,1482.76502119937,1417.56112587834,1335.43167307265,1530.70313057433,1340.91403419063,1351.49522539041,1286.48050443491,1456.56219781504,1226.24213639152,1393.40383943407,1418.49989620095,1364.33469205109,1383.87856583715,1299.87162376062,1379.94776255038,1280.32005235944,1374.00853749463,1382.03342973248,1438.16065695874,1329.85945571704,1373.34299882925,1451.11490863575,1411.18746068246,1232.78855729258,1428.03813247644,1407.23583906286,1352.74011135672,1497.0248349257,1408.42231405438,1477.31364432251,1235.61504065003,1438.89132613847,1380.44662933357,1219.78431117622,1327.49890105335,1450.93844598243,1267.55630623172,1525.19654171876,1404.11507445973,1332.50496407723,1391.47515430899,1324.22974638141,1282.18693091719,1396.32472235835,1405.32821166641
1231.75765225151,1298.84656714357,1262.33435872411,1208.07852825389,1408.96679037579,1267.14735932494,1324.86535872818,1361.42567643207,1457.49212768023,1215.88658164266,1287.61160211894,1211.02587295902,1280.84570817011,1322.73123231994,1188.19862493862,1323.39529562656,1363.80343003372,1319.32993296746,1371.5202333847,1180.73877386465,1334.30550884137,1371.21077377426,1295.67916612889,1364.8161850362,1269.19052939507,1286.47280770143,1295.02946265642,1301.62394251144,1250.52059310542,1414.9544704736,1352.30554257566,1274.39911807012,1460.22157706979,1280.07899246184,1289.49800022798,1228.38294204308,1390.16701080592,1171.17815691909,1329.56878551631,1353.31191102156,1303.04079933384,1321.17494793096,1241.00829667241,1317.0638460114,1222.23392528509,1311.61427076605,1318.96073902572,1372.27086277899,1269.6593430466,1310.43668596347,1384.79938264254,1346.26322319994,1177.2466257236,1363.10118379392,1343.67242197396,1291.53589388716,1427.91521851233,1344.21956758338,1409.16989559491,1180.09951101922,1372.65608583822,1318.09751638879,1165.05760414326,1267.88405640126,1384.39949514596,1210.59156027704,1455.11193308013,1340.31717034652,1271.84466215785,1327.98129453614,1264.63744555097,1224.37460008863,1332.88883592596,1341.7914667763
1175.732409323,1239.20294484657,1204.59170742401,1153.23344155314,1343.65640746654,1209.30074912255,1264.15053998142,1298.51825512926,1389.69451821324,1160.67856229785,1228.54831551684,1155.99103957388,1222.27982736213,1261.82107187018,1134.36515686945,1262.63162072201,1300.8819444382,1258.89612805941,1308.31965533392,1127.29562307355,1272.93732539407,1307.87551778301,1236.39176412137,1301.80673046977,1211.12290458114,1227.45484804684,1235.75113665014,1242.05426059077,1193.49235120162,1349.45441011083,1289.89128407656,1216.04261331681,1392.32215067339,1221.51005097642,1230.33658218245,1172.48657520713,1325.97286318947,1118.24193211513,1268.36765587207,1290.86428265824,1243.45585899939,1260.54653937131,1184.44421856779,1256.56361446551,1166.61159655828,1251.4369235376,1258.34608186506,1308.9005761354,1211.64379054121,1250.21518453082,1320.83308266657,1284.16361326992,1123.97981299706,1300.30989479679,1281.96526424578,1232.42416174895,1361.61141567846,1282.34057156945,1343.82748969729,1126.70380680583,1309.20150419233,1257.67279147306,1112.43834899274,1210.06431558403,1320.40136539516,1155.64631880477,1387.50307630673,1278.68291843312,1213.65455185994,1266.91225270957,1206.95228206955,1168.69891961617,1271.63294863835,1280.16162373683
1122.41138678223,1182.95634398896,1150.15077196393,1101.18395758201,1281.84733350394,1154.23320959543,1206.10191184111,1239.19726778968,1325.45621446672,1108.14347066678,1172.85290622613,1103.91144237237,1166.55876142994,1204.47795865284,1083.36615072252,1204.82043864334,1241.19525620248,1201.12463932459,1248.08237398369,1076.65236026493,1214.65451090301,1247.88166542728,1179.86948479918,1242.14460797263,1156.22778820446,1171.87293683475,1179.29792113452,1185.20802737175,1139.32513081997,1287.15456898751,1230.96660313104,1160.93708213068,1327.89026909316,1165.90815338103,1174.56211976219,1119.43315487128,1264.86272929304,1068.01060708928,1210.47336164989,1231.83624286127,1186.47058750032,1202.80784299424,1130.81167776075,1199.17035522169,1114.00869479448,1194.23906591792,1200.89436066721,1248.81867261949,1156.52142550849,1193.30648991732,1260.05155464703,1225.53237616633,1073.53114089951,1240.52196442003,1223.02372664657,1176.17234075852,1298.89089728958,1223.56680203817,1282.03494499321,1076.02074579179,1249.22522635237,1200.02577485268,1062.50079737473,1154.85505554727,1259.72517719063,1103.38844679051,1323.27726517118,1220.03283674165,1158.56612924108,1208.99622620367,1151.9525285039,1115.81439002555,1213.36156722535,1221.33162406008
1072.35186367719,1130.53652847402,1099.40945383454,1052.41435425528,1224.13307446825,1102.53797629728,1151.45023103586,1183.93855366383,1265.43670795127,1058.82299565656,1120.94534436914,1055.22280042385,1114.2758327123,1151.11421262231,1035.63655506962,1150.59182652811,1185.34747185967,1146.73817744667,1191.51880908297,1029.24329547228,1160.0602573851,1191.81042473083,1126.75986061744,1186.39735471913,1104.9621929438,1120.12010050759,1126.29440510526,1131.75703850286,1088.55441248006,1228.76103724067,1176.02541977374,1109.52056671639,1267.62040881713,1113.82328419012,1122.59117805298,1069.72578573523,1207.53879949724,1020.93610255984,1156.40352549086,1176.74809711348,1132.80125486488,1148.60762363906,1080.60434142964,1145.4501930515,1064.85524754784,1140.62079884708,1147.15549693767,1192.62571161769,1104.84987603685,1140.19248458175,1203.11261002109,1170.85981728065,1026.32105480106,1184.41993562511,1167.57716845055,1123.38794868631,1240.34952988019,1168.51200851644,1224.36712926114,1028.51512584106,1193.26170221802,1145.83796229542,1015.69463296765,1102.90918409952,1202.98107360457,1054.34533630372,1263.14812166506,1165.01550153061,1107.06828317583,1154.802473586,1100.25985833713,1066.23556690482,1158.71052176826,1166.01708462788
